date, 		weight,	steps,	active_minutes,	sleeping_hours, calory_burned,	num_of_stairs, 	adverse_level,
2018-07-19,	56.0,	11677,	48,				7.3,			1851,			18,				0,
2018-07-20,	55.3,	11638,	75,				?,				1742,			38,				0,	
